id,name,type,category,organizer,prestigeTier,cost,commitment,eligibility,format,description,timing,payoff,notes,url,confidence,verified,effort,competitiveness,skills,prestige,clubFit,accessibility,clubStatus,clubNotes,lastVerified
wharton-global-high-school-investment-competition,Wharton Global High School Investment Competition,Competition,Investing & Portfolio Management,"Wharton Global Youth Program, University of Pennsylvania",Tier 1 - National/Global flagship,Free (travel to Philadelphia finals not covered),~3-5 hrs/week for 10 weeks,Grades 9-12 worldwide. Teams of 4-6 from the same school + a required teacher advisor. Team leader must be 16+ on day one. Homeschoolers may request approval.,10-week team portfolio simulation (Wharton Investment Simulator) + written deliverables -> semifinal presentations -> Global Finale at Wharton,"The single best-known investing competition for high schoolers. Each team gets a real Wharton alum as a 'client' with a fictional-but-realistic financial situation, then builds a long-term investment strategy for that client using a $500,000 simulated portfolio (stocks and ETFs only). Crucially, teams are NOT judged on raw returns -- they are judged on the quality and consistency of their strategy versus the client's stated goals and risk tolerance. Deliverables include a team roster, an Investment Policy Statement, and a final report. Roughly 5,400 teams entered the 2025-26 cycle; 49 reached virtual semifinals and 11 made the Global Finale in Philadelphia. Stuyvesant High School won 2026.","2026-27: Registration opens August 2026. ADVISOR REGISTRATION DEADLINE 5:00pm ET Fri Sept 11, 2026. Competition runs Sept 28 - Dec 4, 2026. Roster due Oct 9, 2026. Finale ~late April 2027.","Global Finale trip to Wharton, Wharton online course fee waiver for finalists, champion school gets a fast-track semifinal slot next year, strong resume/essay material","THE highest-priority item on this list for your club and the deadline is in ~5 weeks. You need a teacher advisor locked in before Sept 11. Run multiple teams -- there's no cap that hurts you, and it gives more members a real role. The judging-on-strategy-not-returns point is where most teams lose: write the Investment Policy Statement first and make every trade traceable back to it.",https://globalyouth.wharton.upenn.edu/competitions/investment-competition/,Verified Aug 2026,TRUE,8,8,6,9,10,9,not-started,,2026-08-03
young-investors-society-global-stock-pitch-competition,Young Investors Society (YIS) Global Stock Pitch Competition,Competition,Investing & Portfolio Management,"Young Investors Society (YIS), a 501(c)(3)","Tier 2 - Strong national, elite within finance circles",$25 per person for US events,20-40 hrs on one pitch,"High school students only, US and international. Solo or teams of up to 2. Teammates may be from different schools but must register under the same state event.",Submit a written stock pitch report + PowerPoint + YouTube video of your presentation -> state/territory judging -> top 100 invited to NYC quarterfinals -> semis (24) -> finals (5),"The closest thing to a genuine professional equity research experience available at the high school level. Students pick one publicly traded company, do real fundamental research (some teams even get calls with company investor relations or management), build an intrinsic value model, and issue a Buy or Sell recommendation. All three components -- report, deck, and video -- are required. Winners advance to the Global Youth Investment Summit in New York City, a two-day event with workshops, industry speakers, case competitions, and networking. YIS also publishes free templates, an intrinsic value model, a Stock Investing 101 eBook, and past winning pitches on YouTube.","2025-26 cycle: registration opened Dec 12, closed Feb 20; NYC Summit May 28-29. Expect a near-identical 2026-27 calendar -- watch for December registration.","NYC Global Youth Investment Summit invite, industry networking, a portfolio-quality work product you can show any admissions officer or future employer",Highest skill ceiling per dollar on this list. The written pitch is a genuinely reusable artifact -- students can put the PDF in a portfolio. Note NYC travel is family-funded; start fundraising in the fall if you want to send teams.,https://yis.org/programs/stock-pitch-competition/,Verified Aug 2026,TRUE,7,6,8,6,9,8,not-started,,2026-08-03
yis-finance-knowledge-bowl,YIS Finance Knowledge Bowl,Competition,Investing & Portfolio Management,Young Investors Society,Tier 3 - Solid skill-builder,Low / free for chapters (confirm current cycle),Light -- study sessions plus event day,"High school students, generally through YIS chapters",Quiz-bowl style rapid-fire finance and investing questions,"A team trivia-style competition on investing and finance fundamentals -- terminology, market mechanics, valuation basics, financial history. Lower barrier than the Stock Pitch Competition and a good way to get newer or younger club members competing early, and to build the shared vocabulary the rest of your club activities depend on.",Runs during the school year; check the MyYIS calendar,"Recognition, team-building, foundational knowledge",Excellent onboarding activity for freshmen and sophomores. Use it as your club's fall recruiting hook.,https://yis.org/programs/finance-knowledge-bowl/,Verified page exists Aug 2026 -- confirm 2026-27 dates/fees with YIS,TRUE,3,4,4,3,9,8,not-started,,2026-08-03
yis-cyia-designation,YIS CYIA (Certified Young Investment Analyst) Designation,Certification,Investing & Portfolio Management,Young Investors Society,Tier 3 - Niche but concrete,Confirm with YIS,Self-paced over weeks/months,High school students,Self-paced coursework and assessment leading to a designation,"A structured, credential-bearing curriculum for high schoolers that mirrors -- at an introductory level -- the logic of professional designations like the CFA. Useful as a concrete, verifiable line on a resume that shows sustained study rather than one-off participation.",Self-paced,A named designation and a defensible knowledge base,Good club-wide goal: 'every member earns CYIA by spring.' Creates a measurable club outcome you can report to your school.,https://yis.org/programs/cyia-designation/,Verified page exists Aug 2026 -- confirm requirements/fees,TRUE,6,2,6,4,8,8,not-started,,2026-08-03
the-stock-market-game,The Stock Market Game (SMG),Competition,Trading Simulation,SIFMA Foundation,"Tier 3 - Broad participation, low selectivity",Free in most states (sponsor-funded); NC funded via NCCEE sponsors,1-2 hrs/week,"Grades 4-12, US. Team-based, run through a teacher/advisor. Available in NC through the NC Council on Economic Education.","Online portfolio simulation, $100,000 hypothetical, real-time pricing, stocks/bonds/ETFs/mutual funds","The oldest and most widely used investing simulation in American schools -- nearly 20 million students since 1977. Teams manage a hypothetical $100,000 portfolio against real market data and compete on portfolio performance within their state and grade division. Lower analytical rigor than the research-and-pitch competitions, but it is free, easy to run, has excellent teacher support materials, and works as a semester-long backbone activity that everyone in a club can participate in simultaneously.",Fall and spring sessions plus a year-long option; register through NCCEE,"State/regional recognition, awards banquets, hands-on market familiarity",Use this as your club's 'everyone plays' baseline activity while your strongest teams do Wharton and YIS. It also unlocks InvestWrite eligibility.,https://www.stockmarketgame.org/,Verified Aug 2026,TRUE,3,4,3,3,9,9,not-started,,2026-08-03
investwrite,InvestWrite,Competition,Investing & Portfolio Management,SIFMA Foundation,"Tier 3 - Good national recognition, modest selectivity",Free,5-10 hrs,Grades 4-12 -- but ONLY open to students participating in The Stock Market Game,National essay competition responding to an annual prompt; advisors submit the best essays,"The written companion to the Stock Market Game. Students write an essay applying investing concepts -- long-term strategy, diversification, risk -- to a prompt set each session. Essays are scored on rationale, subject-matter understanding, and writing style by volunteer industry judges. It rewards students who can explain their reasoning, which is a different and often rarer skill than picking stocks.",Fall and spring deadlines tied to SMG sessions,"National and state recognition, awards ceremonies, judged by finance professionals","Cheap add-on: if you're already running SMG, entering InvestWrite costs you nothing extra and doubles the recognition surface. Good for members who write well but aren't quant-oriented.",https://sifmafoundation.org/investwrite/,Verified Aug 2026,TRUE,3,5,3,4,6,8,not-started,,2026-08-03
capitol-hill-challenge,Capitol Hill Challenge,Competition,Trading Simulation,"SIFMA Foundation, presented by the Charles Schwab Foundation",Tier 2 - Prestigious but access-limited,Free,1-2 hrs/week,"INVITATION ONLY. Public middle and high schools, priority to Title I schools with highest need. Up to 2 schools per Member of Congress, up to 15 teams per school, 3-5 students per team.",Special edition of the Stock Market Game; each team is paired with your local Member of Congress,"A national version of the Stock Market Game that reaches every US Congressional district, pairing student teams with their Representative or Senator. Top-10 teams nationally earn recognition and the opportunity to meet with government officials in Washington. The 2026 edition ran Jan 26 - May 1 with a June celebration. Rules include a $5-per-trade commission, so it rewards discipline rather than churn.",Roughly late January - early May; roster deadline was March 6 in 2026,"National top-10 recognition, meetings with Members of Congress, DC celebration","You cannot simply apply -- you have to be invited. If your school is public and Title I eligible, have your advisor email capitolhill@sifma.org to express interest. Otherwise treat this as aspirational.",https://www.stockmarketgame.org/capitol-hill-challenge.html,Verified Aug 2026,TRUE,3,6,3,5,7,3,not-started,,2026-08-03
nc-capitol-challenge,NC Capitol Challenge (Stock Market Game),Competition,Trading Simulation,"North Carolina Council on Economic Education (NCCEE), Raleigh",Tier 3 - Strong state-level visibility,Free,1-2 hrs/week,North Carolina middle and high school teams,Statewide Stock Market Game variant pairing student teams with NC General Assembly members,"North Carolina's own version of the Capitol Hill Challenge. Student teams across the state are paired with members of the NC General Assembly and compete on portfolio growth. Sponsored at the high school level by State Farm, with credit union and Fidelity support. A genuinely local way to get your club in front of state legislators -- which is unusual access for a high school investing club and makes for excellent local press.",Runs during the school year; contact NCCEE for the 2026-27 window,"Recognition at regional awards banquets, contact with state legislators",NCCEE is headquartered right in Raleigh (8380 Six Forks Road). Get your advisor on their mailing list -- they run the state qualifiers for the national Econ and Personal Finance Challenges too. This is your single highest-leverage local relationship.,https://www.nccee.org/financial-literacy-programs/academic-competitions/,Verified Aug 2026,TRUE,3,5,3,4,9,8,not-started,,2026-08-03
cme-group-trading-challenge,CME Group Trading Challenge (monthly),Competition,Trading Simulation,CME Group / CME Institute,Tier 4 for HS (prize-ineligible) but excellent learning,Free,~5 hrs over one week,Open registration but AGE-RESTRICTED for prizes -- terms specify age limits and eligible countries. Most high schoolers under 18 will be practice-only.,"One-week futures trading simulation on a professional platform, plus required CME Institute coursework","A recurring (roughly monthly) simulated futures trading competition. Participants trade CME products -- equity index, energy, metals, agricultural futures, including micro contracts -- in a live-market simulator, with cash prizes for top leaderboard finishers and daily P&L winners. Requires completing CME Institute courses to qualify for prizes. Even where students are ineligible for prizes, the free CME Institute curriculum on futures and derivatives is genuinely good and hard to find elsewhere at this level.","Recurring monthly windows; e.g. Aug 9-14, 2026",Free derivatives education; cash prizes only for eligible (adult) participants,READ THE TERMS before your members register -- age restrictions vary by cycle. Use it as a club learning module on derivatives rather than a credential. Nothing else free teaches futures this well.,https://www.cmegroup.com/education/trading-challenge.html,Verified Aug 2026 -- confirm age terms each cycle,TRUE,4,6,7,3,7,6,not-started,,2026-08-03
imc-prosperity,IMC Prosperity (algorithmic trading challenge),Competition,Quantitative & Trading,IMC Trading,Practice-only for HS; Tier 1 in the quant world,Free,1-2 hrs/day for 2 weeks,Platform open to anyone for learning. Prizes and leaderboard ranking restricted to university students 18+. High schoolers can play but cannot win.,Two-week Python-based algorithmic + manual trading simulation across five rounds,"A large, well-run global trading challenge where teams write Python trading algorithms to compete in a simulated market covering market making, options, and risk. Over 48,000 players have participated across editions. High school students can sign up and play for learning purposes -- and this is one of the best available introductions to quantitative trading -- but only 18+ university students are eligible for the $50,000 prize pool and official ranking.","Registration opens ~mid-March, competition mid-to-late April","Real algorithmic trading experience, active Discord community, Python portfolio work","Be honest with members: they cannot win. But for anyone considering quant, this plus AMC/AIME is the real pipeline. A club 'quant track' could do the tutorial round together in the spring.",https://prosperity.imc.com/,Verified Aug 2026,TRUE,8,9,9,4,6,7,not-started,,2026-08-03
